geolocation,recclass,fall,reclong,id,nametype,year,reclat,mass,name
"{'type': 'Point', 'coordinates': [-96.15, 34.31667]}",L6,Fell,-96.150000,4888,Valid,1945-01-01T00:00:00.000,34.316670,1384.2,Atoka
"{'type': 'Point', 'coordinates': [5.16667, 44.38333]}",Aubrite,Fell,5.166670,4893,Valid,1836-01-01T00:00:00.000,44.383330,800,Aubres
"{'type': 'Point', 'coordinates': [3.66667, 36.16667]}",L6,Fell,3.666670,4899,Valid,1865-01-01T00:00:00.000,36.166670,50000,Aumale
"{'type': 'Point', 'coordinates': [3.23333, 44.33333]}",L6,Fell,3.233330,4900,Valid,1842-01-01T00:00:00.000,44.333330,2000,Aumieres
"{'type': 'Point', 'coordinates': [0.58333, 43.08333]}",L5,Fell,0.583330,4903,Valid,1858-01-01T00:00:00.000,43.083330,50000,Ausson
"{'type': 'Point', 'coordinates': [-49.95083, -21.46028]}",H4,Fell,-49.950830,4905,Valid,1952-01-01T00:00:00.000,-21.460280,9330,Avanhandava
"{'type': 'Point', 'coordinates': [13.5, 46]}","Iron, IIAB",Fell,13.500000,4906,Valid,1908-01-01T00:00:00.000,46.000000,1230,Avce
"{'type': 'Point', 'coordinates': [-103.5, 25]}",H,Fell,-103.500000,4907,Valid,1855-01-01T00:00:00.000,25.000000,146,Avilez
"{'type': 'Point', 'coordinates': [32.83333, 2.71667]}",L4,Fell,32.833330,4910,Valid,1968-01-01T00:00:00.000,2.716670,134,Awere
"{'type': 'Point', 'coordinates': [-108, 36.8]}",L6,Fell,-108.000000,4913,Valid,1938-01-01T00:00:00.000,36.800000,2830,Aztec
"{'type': 'Point', 'coordinates': [38, 48.6]}",L6,Fell,38.000000,4917,Valid,1814-01-01T00:00:00.000,48.600000,18000,Bachmut
"{'type': 'Point', 'coordinates': [78.5, 28.48333]}","Iron, IAB-sLL",Fell,78.500000,4922,Valid,1934-01-01T00:00:00.000,28.483330,10322,Bahjoi
"{'type': 'Point', 'coordinates': [-82.48333, 35.96667]}",L4,Fell,-82.483330,4925,Valid,1929-01-01T00:00:00.000,35.966670,3700,Bald Mountain
"{'type': 'Point', 'coordinates': [-88.66667, 34.5]}",L6,Fell,-88.666670,4926,Valid,1922-01-01T00:00:00.000,34.500000,345,Baldwyn
"{'type': 'Point', 'coordinates': [16.38333, 5.38333]}",CV3,Fell,16.383330,4928,Valid,1907-01-01T00:00:00.000,5.383330,1000,Bali
"{'type': 'Point', 'coordinates': [101.18333, 16.66667]}","Iron, ungrouped",Fell,101.183330,4934,Valid,1993-01-01T00:00:00.000,16.666670,16700,Ban Rong Du
"{'type': 'Point', 'coordinates': [107.6, -6.91667]}",LL6,Fell,107.600000,4935,Valid,1871-01-01T00:00:00.000,-6.916670,11500,Bandong
"{'type': 'Point', 'coordinates': [76.33333, 27.7]}",L6,Fell,76.333330,4936,Valid,1892-01-01T00:00:00.000,27.700000,15000,Bansur
"{'type': 'Point', 'coordinates': [78.2, 30.4]}",L5,Fell,78.200000,4937,Valid,1913-01-01T00:00:00.000,30.400000,14,Banswal
"{'type': 'Point', 'coordinates': [106, -6.33333]}",CM2,Fell,106.000000,4938,Valid,1933-01-01T00:00:00.000,-6.333330,629,Banten
"{'type': 'Point', 'coordinates': [-0.05, 43.95]}",H5,Fell,-0.050000,4942,Valid,1790-01-01T00:00:00.000,43.950000,6400,Barbotan
"{'type': 'Point', 'coordinates': [2.16667, 41.36667]}",OC,Fell,2.166670,4944,Valid,1704-01-01T00:00:00.000,41.366670,,Barcelona (stone)
"{'type': 'Point', 'coordinates': [-2.5, 42.38333]}",Mesosiderite-A1,Fell,-2.500000,4946,Valid,1842-01-01T00:00:00.000,42.383330,3200,Barea
"{'type': 'Point', 'coordinates': [84.08333, 52.73333]}",H5,Fell,84.083330,4947,Valid,1904-01-01T00:00:00.000,52.733330,23.2,Barnaul
"{'type': 'Point', 'coordinates': [9.1, 52]}",LL4,Fell,9.100000,4948,Valid,1886-01-01T00:00:00.000,52.000000,17,Barntrup
"{'type': 'Point', 'coordinates': [76.8, 31.61667]}",L6,Fell,76.800000,4949,Valid,1910-01-01T00:00:00.000,31.616670,4500,Baroti
"{'type': 'Point', 'coordinates': [-1.33972, 52.56528]}",L5,Fell,-1.339720,4954,Valid,1965-01-01T00:00:00.000,52.565280,44000,Barwell
"{'type': 'Point', 'coordinates': [-5.9, 15.78333]}",H5,Fell,-5.900000,44876,Valid,2006-01-01T00:00:00.000,15.783330,29560,Bassikounou
"{'type': 'Point', 'coordinates': [20.93583, 52.03333]}",L5,Fell,20.935830,4957,Valid,1994-01-01T00:00:00.000,52.033330,15500,Baszkówka
"{'type': 'Point', 'coordinates': [-98.31667, 45.41667]}",H4,Fell,-98.316670,4974,Valid,1892-01-01T00:00:00.000,45.416670,21000,Bath
"{'type': 'Point', 'coordinates': [-83.75, 38.25]}",L6,Fell,-83.750000,4975,Valid,1902-01-01T00:00:00.000,38.250000,86000,Bath Furnace
"{'type': 'Point', 'coordinates': [-117.18913, 40.66813]}",L6,Fell,-117.189130,56133,Valid,2012-01-01T00:00:00.000,40.668130,2900,Battle Mountain
"{'type': 'Point', 'coordinates': [-0.18333, 11.08333]}",LL5,Fell,-0.183330,4976,Valid,1989-01-01T00:00:00.000,11.083330,1557,Bawku
"{'type': 'Point', 'coordinates': [-93.5, 36.75]}",L6,Fell,-93.500000,4977,Valid,1916-01-01T00:00:00.000,36.750000,611,Baxter
"{'type': 'Point', 'coordinates': [-101.2, 39.8]}",H5,Fell,-101.200000,4984,Valid,1929-01-01T00:00:00.000,39.800000,16000,Beardsley
"{'type': 'Point', 'coordinates': [-117.33333, 51.16667]}",H5,Fell,-117.333330,4986,Valid,1893-01-01T00:00:00.000,51.166670,14000,Beaver Creek
"{'type': 'Point', 'coordinates': [-4.1, 53.01667]}",H5,Fell,-4.100000,4993,Valid,1949-01-01T00:00:00.000,53.016670,794,Beddgelert
"{'type': 'Point', 'coordinates': [-96.46667, 33.6]}",C2-ung,Fell,-96.466670,5005,Valid,1961-01-01T00:00:00.000,33.600000,375,Bells
"{'type': 'Point', 'coordinates': [-64.86667, -32.33333]}",OC,Fell,-64.866670,5009,Valid,1937-01-01T00:00:00.000,-32.333330,,Belville
"{'type': 'Point', 'coordinates': [82.91667, 25.36667]}",LL4,Fell,82.916670,5011,Valid,1798-01-01T00:00:00.000,25.366670,3700,Benares (a)
"{'type': 'Point', 'coordinates': [-8.15, 32.25]}",LL6,Fell,-8.150000,30443,Valid,2004-01-01T00:00:00.000,32.250000,25000,Benguerir
"{'type': 'Point', 'coordinates': [10.8, 32.86667]}",L6,Fell,10.800000,5018,Valid,2001-01-01T00:00:00.000,32.866670,19000,Beni M'hira
"{'type': 'Point', 'coordinates': [-89.15, 39.08333]}",H6,Fell,-89.150000,5021,Valid,1938-01-01T00:00:00.000,39.083330,1770.5,Benld
"{'type': 'Point', 'coordinates': [28.41667, -26.16667]}",H6,Fell,28.416670,5023,Valid,1943-01-01T00:00:00.000,-26.166670,3880,Benoni
"{'type': 'Point', 'coordinates': [-7, 30]}",LL6,Fell,-7.000000,5024,Valid,2002-01-01T00:00:00.000,30.000000,45000,Bensour
"{'type': 'Point', 'coordinates': [-67.55, 45.95]}",LL6,Fell,-67.550000,5026,Valid,1949-01-01T00:00:00.000,45.950000,2840,Benton
"{'type': 'Point', 'coordinates': [-58.32833, -31.91]}",L6,Fell,-58.328330,48975,Valid,2008-01-01T00:00:00.000,-31.910000,270,Berduc
"{'type': 'Point', 'coordinates': [-3.65, 11.65]}",Eucrite-mmict,Fell,-3.650000,5028,Valid,1924-01-01T00:00:00.000,11.650000,18000,Béréba
"{'type': 'Point', 'coordinates': [-3.8, 41.68333]}",L6,Fell,-3.800000,5029,Valid,1811-01-01T00:00:00.000,41.683330,1440,Berlanguillas
"{'type': 'Point', 'coordinates': [-105.02325, 40.30583]}",Eucrite-mmict,Fell,-105.023250,47355,Valid,2004-01-01T00:00:00.000,40.305830,960,Berthoud
"{'type': 'Point', 'coordinates': [-73.83333, 42.53333]}",H,Fell,-73.833330,5032,Valid,1859-01-01T00:00:00.000,42.533330,13.9,Bethlehem
"{'type': 'Point', 'coordinates': [-0.23333, 43.21667]}",L5,Fell,-0.233330,5034,Valid,1859-01-01T00:00:00.000,43.216670,2000,Beuste
"{'type': 'Point', 'coordinates': [35.5, 33.88333]}",LL3.8,Fell,35.500000,5035,Valid,1921-01-01T00:00:00.000,33.883330,1100,Beyrout
"{'type': 'Point', 'coordinates': [74.83333, 20.88333]}",L6,Fell,74.833330,5037,Valid,1877-01-01T00:00:00.000,20.883330,18,Bhagur
"{'type': 'Point', 'coordinates': [73.11528, 26.50833]}",LL6,Fell,73.115280,36591,Valid,2002-01-01T00:00:00.000,26.508330,678,Bhawad
"{'type': 'Point', 'coordinates': [71.46667, 20.83333]}",L6,Fell,71.466670,5039,Valid,1893-01-01T00:00:00.000,20.833330,100,Bherai
"{'type': 'Point', 'coordinates': [90.65, 22.68333]}",LL3-6,Fell,90.650000,5040,Valid,1940-01-01T00:00:00.000,22.683330,1047,Bhola
"{'type': 'Point', 'coordinates': [86.9, 22.08333]}",Howardite,Fell,86.900000,5041,Valid,1905-01-01T00:00:00.000,22.083330,2500,Bholghati
"{'type': 'Point', 'coordinates': [23.2, 53.1]}",Eucrite-pmict,Fell,23.200000,5042,Valid,1827-01-01T00:00:00.000,53.100000,4000,Bialystok
"{'type': 'Point', 'coordinates': [27.16667, 50.13333]}",H4,Fell,27.166670,5043,Valid,1887-01-01T00:00:00.000,50.133330,1900,Bielokrynitschie
"{'type': 'Point', 'coordinates': [-0.08333, 12.45]}",Diogenite,Fell,-0.083330,5045,Valid,1999-01-01T00:00:00.000,12.450000,25000,Bilanga
"{'type': 'Point', 'coordinates': [115.67639, -33.15639]}",H5,Fell,115.676390,5051,Valid,1984-01-01T00:00:00.000,-33.156390,488.1,Binningup
"{'type': 'Point', 'coordinates': [5.3, 13.76667]}",H4,Fell,5.300000,5056,Valid,1923-01-01T00:00:00.000,13.766670,560,Birni N'konni
"{'type': 'Point', 'coordinates': [-80.28333, 34.16667]}",Aubrite,Fell,-80.283330,5059,Valid,1843-01-01T00:00:00.000,34.166670,6000,Bishopville
"{'type': 'Point', 'coordinates': [82.6, 25.38333]}",LL3.15,Fell,82.600000,5060,Valid,1895-01-01T00:00:00.000,25.383330,1039,Bishunpur
"{'type': 'Point', 'coordinates': [30.16667, 49.78333]}",H6,Fell,30.166670,5063,Valid,1796-01-01T00:00:00.000,49.783330,1850,Bjelaja Zerkov
"{'type': 'Point', 'coordinates': [25.8, 60.4]}",L/LL4,Fell,25.800000,5064,Valid,1899-01-01T00:00:00.000,60.400000,330000,Bjurböle
"{'type': 'Point', 'coordinates': [-78.08333, 40.91667]}",L5,Fell,-78.083330,5065,Valid,1941-01-01T00:00:00.000,40.916670,705,Black Moshannan Park
"{'type': 'Point', 'coordinates': [-97.33333, 36.83333]}",L5,Fell,-97.333330,5068,Valid,1906-01-01T00:00:00.000,36.833330,2381,Blackwell
"{'type': 'Point', 'coordinates': [-98.83333, 31.83333]}",L6,Fell,-98.833330,5071,Valid,1909-01-01T00:00:00.000,31.833330,5100,Blanket
"{'type': 'Point', 'coordinates': [16.63333, 49.36667]}",H6,Fell,16.633330,5072,Valid,1833-01-01T00:00:00.000,49.366670,470,Blansko
"{'type': 'Point', 'coordinates': [-89.00417, 40.48]}",LL6,Fell,-89.004170,5076,Valid,1938-01-01T00:00:00.000,40.480000,67.8,Bloomington
"{'type': 'Point', 'coordinates': [115.83333, 33.83333]}",LL3.9,Fell,115.833330,5090,Valid,1977-01-01T00:00:00.000,33.833330,7500,Bo Xian
"{'type': 'Point', 'coordinates': [-102, 23]}",L6,Fell,-102.000000,5093,Valid,1804-01-01T00:00:00.000,23.000000,56,Bocas
"{'type': 'Point', 'coordinates': [0.7, 12.5]}","Iron, IAB-MG",Fell,0.700000,5097,Valid,1962-01-01T00:00:00.000,12.500000,8800,Bogou
"{'type': 'Point', 'coordinates': [131.63333, 44.55]}","Iron, IIAB",Fell,131.633330,5098,Valid,1916-01-01T00:00:00.000,44.550000,256000,Boguslavka
"{'type': 'Point', 'coordinates': [10.05, 44.86667]}",LL6,Fell,10.050000,5110,Valid,1808-01-01T00:00:00.000,44.866670,1676,Borgo San Donino
"{'type': 'Point', 'coordinates': [78.03333, 21.95]}",L6,Fell,78.033330,5111,Valid,1894-01-01T00:00:00.000,21.950000,8600,Bori
"{'type': 'Point', 'coordinates': [52.48333, 54.23333]}",CM2,Fell,52.483330,5112,Valid,1930-01-01T00:00:00.000,54.233330,1342,Boriskino
"{'type': 'Point', 'coordinates': [24.28333, 48.15]}",L5,Fell,24.283330,5113,Valid,1852-01-01T00:00:00.000,48.150000,7000,Borkut
"{'type': 'Point', 'coordinates': [35.86667, 55.46667]}",H5,Fell,35.866670,5114,Valid,1812-01-01T00:00:00.000,55.466670,500,Borodino
"{'type': 'Point', 'coordinates': [33.88333, 51.33333]}",L4,Fell,33.883330,5117,Valid,1823-01-01T00:00:00.000,51.333330,614,Botschetschki
"{'type': 'Point', 'coordinates': [-11.3715, 17.71067]}",L6,Fell,-11.371500,57168,Valid,2003-01-01T00:00:00.000,17.710670,190,Boumdeid (2003)
"{'type': 'Point', 'coordinates': [-11.34133, 17.17493]}",L6,Fell,-11.341330,57167,Valid,2011-01-01T00:00:00.000,17.174930,3599,Boumdeid (2011)
"{'type': 'Point', 'coordinates': [-6.33333, 54.56667]}",L3,Fell,-6.333330,5121,Valid,1969-01-01T00:00:00.000,54.566670,5460,Bovedy
"{'type': 'Point', 'coordinates': [-80.08333, 40.5]}",L,Fell,-80.083330,5128,Valid,1886-01-01T00:00:00.000,40.500000,762,Bradford Woods
"{'type': 'Point', 'coordinates': [16.3, 50.6]}","Iron, IIAB",Fell,16.300000,5133,Valid,1847-01-01T00:00:00.000,50.600000,39000,Braunau
"{'type': 'Point', 'coordinates': [8.18361, 50.66694]}",H5,Fell,8.183610,5134,Valid,1956-01-01T00:00:00.000,50.666940,1500,Breitscheid
"{'type': 'Point', 'coordinates': [9.1, 53.4]}",H/L3.9,Fell,9.100000,5135,Valid,1855-01-01T00:00:00.000,53.400000,7250,Bremervörde
"{'type': 'Point', 'coordinates': [59.31667, 52.13333]}",Eucrite-pmict,Fell,59.316670,5140,Valid,1933-01-01T00:00:00.000,52.133330,219,Brient
"{'type': 'Point', 'coordinates': [-112.88333, 53.9]}",L6,Fell,-112.883330,5156,Valid,1960-01-01T00:00:00.000,53.900000,303000,Bruderheim
"{'type': 'Point', 'coordinates': [64.60035, 39.77978]}",CV3,Fell,64.600350,30448,Valid,2001-01-01T00:00:00.000,39.779780,5300,Bukhara
,Iron?,Fell,,5163,Valid,1964-01-01T00:00:00.000,,2250,Bulls Run
"{'type': 'Point', 'coordinates': [129.19, -31.35]}",Eucrite,Fell,129.190000,48653,Valid,2007-01-01T00:00:00.000,-31.350000,324,Bunburra Rockhole
"{'type': 'Point', 'coordinates': [9.58333, 10.01667]}",Howardite,Fell,9.583330,5165,Valid,1942-01-01T00:00:00.000,10.016670,357,Bununu
"{'type': 'Point', 'coordinates': [48, 5]}",H5,Fell,48.000000,5169,Valid,1919-01-01T00:00:00.000,5.000000,120000,Bur-Gheluai
"{'type': 'Point', 'coordinates': [-82.23722, 37.62194]}",H4-an,Fell,-82.237220,5175,Valid,1990-01-01T00:00:00.000,37.621940,1504,Burnwell
"{'type': 'Point', 'coordinates': [29.23333, 40.2]}",L6,Fell,29.233330,5177,Valid,1946-01-01T00:00:00.000,40.200000,25000,Bursa
"{'type': 'Point', 'coordinates': [25.78333, 46.45]}",L6,Fell,25.783330,5178,Valid,1863-01-01T00:00:00.000,46.450000,5000,Buschhof
"{'type': 'Point', 'coordinates': [82.83333, 26.78333]}",Aubrite,Fell,82.833330,5181,Valid,1852-01-01T00:00:00.000,26.783330,1500,Bustee
"{'type': 'Point', 'coordinates': [84.08333, 27.08333]}",H6,Fell,84.083330,5183,Valid,1861-01-01T00:00:00.000,27.083330,29000,Butsura
"{'type': 'Point', 'coordinates': [-109.84817, 52.996]}",H4,Fell,-109.848170,48654,Valid,2008-01-01T00:00:00.000,52.996000,41000,Buzzard Coulee
"{'type': 'Point', 'coordinates': [-1.16667, 37.98333]}",L/LL6,Fell,-1.166670,5185,Valid,1870-01-01T00:00:00.000,37.983330,25000,Cabezo de Mayo
"{'type': 'Point', 'coordinates': [-93.5, 35.5]}","Iron, IIIAB",Fell,-93.500000,5186,Valid,1886-01-01T00:00:00.000,35.500000,48500,Cabin Creek
"{'type': 'Point', 'coordinates': [20.33333, 43.83889]}",OC,Fell,20.333330,5187,Valid,1919-01-01T00:00:00.000,43.838890,212,Cacak
"{'type': 'Point', 'coordinates': [-76.51, 3.405]}",H/L4,Fell,-76.510000,45976,Valid,2007-01-01T00:00:00.000,3.405000,478,Cali
"{'type': 'Point', 'coordinates': [122.33333, 11.75]}",Stone-uncl,Fell,122.333330,5200,Valid,1916-01-01T00:00:00.000,11.750000,2400,Calivo
"{'type': 'Point', 'coordinates': [-40.16667, -7.03333]}",L5,Fell,-40.166670,5249,Valid,1991-01-01T00:00:00.000,-7.033330,23680,Campos Sales
"{'type': 'Point', 'coordinates': [26.6, 39.8]}",L6,Fell,26.600000,5250,Valid,1964-01-01T00:00:00.000,39.800000,4000,Çanakkale
"{'type': 'Point', 'coordinates': [1.66667, 41.25]}",H4,Fell,1.666670,5251,Valid,1861-01-01T00:00:00.000,41.250000,945,Cañellas
"{'type': 'Point', 'coordinates': [-5.15, 43.38333]}",H5,Fell,-5.150000,5252,Valid,1866-01-01T00:00:00.000,43.383330,34000,Cangas de Onis
"{'type': 'Point', 'coordinates': [-105.24139, 38.47028]}",H6,Fell,-105.241390,5253,Valid,1973-01-01T00:00:00.000,38.470280,1400,Canon City
"{'type': 'Point', 'coordinates': [-89.58333, 37.26667]}",H6,Fell,-89.583330,5260,Valid,1846-01-01T00:00:00.000,37.266670,2300,Cape Girardeau
"{'type': 'Point', 'coordinates': [-64.55, -30.88333]}",H6,Fell,-64.550000,5264,Valid,1934-01-01T00:00:00.000,-30.883330,750,Capilla del Monte
"{'type': 'Point', 'coordinates': [-69.04389, -16.66444]}",H4-5,Fell,-69.043890,45817,Valid,2007-01-01T00:00:00.000,-16.664440,342,Carancas
"{'type': 'Point', 'coordinates': [27, 38.5]}",LL6,Fell,27.000000,5265,Valid,1902-01-01T00:00:00.000,38.500000,8,Caratash
"{'type': 'Point', 'coordinates': [-78.06667, 36.08333]}",H5,Fell,-78.066670,5291,Valid,1874-01-01T00:00:00.000,36.083330,7300,Castalia
"{'type': 'Point', 'coordinates': [11.5, 43.35]}",Stone-uncl,Fell,11.500000,5292,Valid,1791-01-01T00:00:00.000,43.350000,,Castel Berardenga
"{'type': 'Point', 'coordinates': [-68.75, 44.38333]}",L6,Fell,-68.750000,5293,Valid,1848-01-01T00:00:00.000,44.383330,94,Castine
